"Participant_ID","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","match","association","difficulty","dot_color_after"
25,"女",20,"右","都不是","match_RDK","1157","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1141","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1397","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","2204","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1414","j",0,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1804","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1636","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1599","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1148","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1195","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","2254","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1103","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","2199","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1453","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1068","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1844","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","955","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","2019","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1425","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1270","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1506","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1268","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1088","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1219","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1233","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1231","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
