"subj_id","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","coherence","isMatch","association","difficulty","dot_color_final","target_color_proportion"
"9","女",23,"右","都不是","match_RDK","1027","f",1,180,0.03,"match","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1448","f",0,0,0.03,"mismatch","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1599","j",1,0,0.08,"mismatch","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2810","f",1,180,0.11,"match","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1527","f",1,0,0.11,"match","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1690","f",1,180,0.03,"match","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,180,0.03,"mismatch","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1898","j",1,180,0.08,"mismatch","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,180,0.08,"match","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2515","f",0,0,0.03,"mismatch","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1500","j",1,180,0.03,"mismatch","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2367","j",0,0,0.03,"match","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1023","f",1,0,0.08,"match","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1203","j",1,180,0.11,"mismatch","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2338","f",1,0,0.03,"match","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1026","j",1,0,0.11,"mismatch","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2761","f",0,0,0.03,"mismatch","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2775","f",1,0,0.03,"match","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1495","j",1,180,0.03,"mismatch","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1096","f",1,180,0.03,"match","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1516","f",1,180,0.11,"match","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1277","f",1,0,0.11,"match","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1400","j",1,180,0.11,"mismatch","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2062","f",0,0,0.03,"mismatch","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1515","f",1,0,0.08,"match","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2299","f",0,0,0.08,"mismatch","self","2","[""white""]",0
