"success","rt","part","trial_type","trial_index","time_elapsed","internal_node_id","response","stimulus","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","coherent_direction","coherence","opposite_coherence","dot_radius","dot_side_length","dot_life","move_distance","aperture_width","aperture_height","dot_color","dot_color_final","color_change_delay","target_color_proportion","motion_change_delay","dot_shape","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","task","correct_responce","revs","correctNum","totalTrials","proportionColor","proportionMotion","data_label"
"","1304","motion_formal","rdk","1423","1563874","0.0-0.0-2.0-4.0-1.9-0.9-0.9-1.217","arrowleft","","false","[""ArrowLeft"",""ArrowRight""]","ArrowRight","3000","true","1","100","0","0.07100000000000005","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""white""]","0","0","9.009090067780168","circle","black","3","2","2","16.556962025316455","[2,15,16,16,17,17,17,17,16,17,17,16,17,16,17,17,16,16,17,17,16,18,17,17,16,17,17,16,18,16,17,18,15,17,17,17,17,16,17,18,15,18,16,17,18,16,17,17,16,17,16,17,17,16,17,17,16,17,16,17,18,16,17,24,10,17,17,17,16,17,17,17,17,16,17,17,17,17,18]","79","674","364.5","false","20","20","black","1","false","1","1","1398","874","","ArrowRight","","","","","","staircase_motion"
"","null","fixation","html-keyboard-response","1424","1564894","0.0-0.0-2.0-4.0-1.9-0.9-0.9-0.218","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1240","motion_formal","rdk","1425","1566136","0.0-0.0-2.0-4.0-1.9-0.9-0.9-1.218","arrowleft","","true","[""ArrowLeft"",""ArrowRight""]","ArrowLeft","3000","true","1","100","180","0.07100000000000005","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""white""]","0","0","7.597646209440473","circle","black","3","2","2","16.82191780821918","[27,14,17,16,17,17,17,17,16,17,16,17,17,16,17,18,15,17,17,17,16,17,16,17,16,17,17,17,17,16,18,16,17,18,15,17,18,15,17,17,17,18,15,17,17,17,17,16,17,17,16,17,16,16,17,16,17,17,17,17,16,19,15,18,15,17,17,17,18,15,17,17,17]","73","674","364.5","false","20","20","black","1","false","1","1","1398","874","","ArrowLeft","","","","","","staircase_motion"
"","null","fixation","html-keyboard-response","1426","1567150","0.0-0.0-2.0-4.0-1.9-0.9-0.9-0.219","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1274","motion_formal","rdk","1427","1568425","0.0-0.0-2.0-4.0-1.9-0.9-0.9-1.219","arrowright","","false","[""ArrowLeft"",""ArrowRight""]","ArrowLeft","3000","true","1","100","180","0.07100000000000005","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""white""]","0","0","8.613589086448435","circle","black","3","2","2","16.51948051948052","[1,17,17,17,17,17,17,17,17,17,16,17,16,17,17,17,18,16,16,17,17,16,17,16,18,15,17,17,16,17,16,16,17,17,17,16,17,18,16,16,17,16,17,17,16,16,17,17,17,17,17,16,17,17,16,17,17,16,18,15,17,17,18,15,17,17,17,17,21,13,24,9,18,16,17,16,17]","77","674","364.5","false","20","20","black","1","false","1","1","1398","874","","ArrowLeft","","","","","","staircase_motion"
"","null","fixation","html-keyboard-response","1428","1569437","0.0-0.0-2.0-4.0-1.9-0.9-0.9-0.220","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1423","motion_formal","rdk","1429","1570861","0.0-0.0-2.0-4.0-1.9-0.9-0.9-1.220","arrowright","","true","[""ArrowLeft"",""ArrowRight""]","ArrowRight","3000","true","1","100","0","0.07100000000000005","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""white""]","0","0","11.561893719523319","circle","black","3","2","2","16.523255813953487","[1,15,16,17,17,17,16,17,17,17,17,16,18,17,15,17,17,17,18,15,17,17,17,18,15,17,17,15,17,17,16,19,15,17,17,17,17,16,17,18,15,17,16,17,19,14,16,17,16,17,17,17,17,16,17,17,17,17,16,17,17,17,17,15,17,17,19,14,17,17,17,17,17,17,17,17,17,17,18,24,8,17,17,16,17,16]","86","674","364.5","false","20","20","black","1","false","1","1","1398","874","","ArrowRight","","","","","","staircase_motion"
"","null","fixation","html-keyboard-response","1430","1571872","0.0-0.0-2.0-4.0-1.9-0.9-0.9-0.221","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1460","motion_formal","rdk","1431","1573334","0.0-0.0-2.0-4.0-1.9-0.9-0.9-1.221","arrowright","","true","[""ArrowLeft"",""ArrowRight""]","ArrowRight","3000","true","1","100","0","0.07100000000000005","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""white""]","0","0","9.922027280711161","circle","black","3","2","2","16.74712643678161","[12,19,16,16,18,16,16,17,17,16,17,16,17,16,17,17,16,18,16,17,18,15,17,18,16,18,16,17,17,17,18,16,16,17,16,18,16,16,18,16,18,16,17,18,16,16,18,16,16,17,16,18,15,17,17,17,16,17,16,17,17,16,17,16,17,17,17,17,17,17,17,17,17,21,12,17,17,17,16,17,17,22,11,17,17,16,21]","87","674","364.5","false","20","20","black","1","false","1","1","1398","874","","ArrowRight","","","","","","staircase_motion"
"","null","fixation","html-keyboard-response","1432","1574340","0.0-0.0-2.0-4.0-1.9-0.9-0.9-0.222","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
