"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","part","response","stimulus","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_side_length","dot_life","move_distance","aperture_width","aperture_height","dot_color_beforeOne","dot_color_beforeTwo","dot_color_after","dot_color_delay","move_delay","dot_shape","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","task","correct_responce","match","association","difficulty"
"","","","","","html-keyboard-response","559","1566940","0.0-5.0-0.0-0.0-5.0-1.0-0.0-4.0-0.37","null","fixation","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rdk","560","1568501","0.0-5.0-0.0-0.0-5.0-1.0-0.0-4.0-1.37","543","RDK","arrowright","","true","[""ArrowRight"",""ArrowLeft""]","[""ArrowRight""]","3000","true","1","100","1","0","0.08","0","5.7","1","-1","3","600","600","hsl(225, 50%, 50%)","hsl(0, 50%, 50%)","white","3000","6","circle","black","3","2","2","16.71875","[10,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17]","32","600","330","false","20","20","black","1","false","1","1","1200","660","response","ArrowRight","","self","difficult"
"","","","","","html-keyboard-response","561","1569523","0.0-5.0-0.0-0.0-5.0-1.0-0.0-4.0-0.38","null","fixation","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rdk","562","1571141","0.0-5.0-0.0-0.0-5.0-1.0-0.0-4.0-1.38","600","RDK","arrowright","","false","[""ArrowRight"",""ArrowLeft""]","[""ArrowLeft""]","3000","true","1","100","1","180","0.2","0","5.7","1","-1","3","600","600","hsl(225, 50%, 50%)","hsl(0, 50%, 50%)","white","3000","6","circle","black","3","2","2","16.86111111111111","[12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17]","36","600","330","false","20","20","black","1","false","1","1","1200","660","response","ArrowLeft","","other","easy"
"","","","","","html-keyboard-response","563","1572156","0.0-5.0-0.0-0.0-5.0-1.0-0.0-4.0-0.39","null","fixation","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rdk","564","1573621","0.0-5.0-0.0-0.0-5.0-1.0-0.0-4.0-1.39","463","RDK","arrowright","","false","[""ArrowRight"",""ArrowLeft""]","[""ArrowLeft""]","3000","true","1","100","1","180","0.08","0","5.7","1","-1","3","600","600","hsl(225, 50%, 50%)","hsl(0, 50%, 50%)","white","3000","6","circle","black","3","2","2","16.77777777777778","[11,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17]","27","600","330","false","20","20","black","1","false","1","1","1200","660","response","ArrowLeft","","other","difficult"
"","","","","","html-keyboard-response","565","1577139","0.0-5.0-0.0-0.0-5.0-1.0-0.0-5.0","null","","null","<p style='font-size: 35px; color: white'>这组测试中，您正确回答了： 73% 的试次。平均反应时为：677毫秒。</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","566","1580357","0.0-5.0-0.0-0.0-5.0-1.0-0.0-6.0","2215","instruction_rest"," ","
  <div style=""text-align: center; color: white; padding: 35px; font-size: 35px"">
    <p>请休息一下，若准备好可按空格键继续</p >
  </div>
  ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","567","1581874","0.0-5.0-0.0-0.0-5.0-1.0-0.0-7.0-0.0","null","fixation","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rdk","568","1583875","0.0-5.0-0.0-0.0-5.0-1.0-0.0-7.0-1.0","1000","RDK","arrowright","","true","[""ArrowRight"",""ArrowLeft""]","[""ArrowRight""]","3000","true","1","100","1","0","0.08","0","5.7","1","-1","3","600","600","hsl(225, 50%, 50%)","hsl(0, 50%, 50%)","white","3000","6","circle","black","3","2","2","16.816666666666666","[10,17,17,17,17,16,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16]","60","600","330","false","20","20","black","1","false","1","1","1200","660","response","ArrowRight","","self","difficult"
"","","","","","html-keyboard-response","569","1584906","0.0-5.0-0.0-0.0-5.0-1.0-0.0-7.0-0.1","null","fixation","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rdk","570","1586708","0.0-5.0-0.0-0.0-5.0-1.0-0.0-7.0-1.1","796","RDK","arrowright","","true","[""ArrowRight"",""ArrowLeft""]","[""ArrowRight""]","3000","true","1","100","1","0","0.2","0","5.7","1","-1","3","600","600","hsl(225, 50%, 50%)","hsl(0, 50%, 50%)","white","3000","6","circle","black","3","2","2","16.520833333333332","[7,17,17,16,17,16,17,17,17,17,16,16,16,17,17,17,17,17,17,16,16,17,16,17,16,17,17,17,17,17,16,17,17,17,16,17,16,17,17,17,17,17,17,17,17,17,16,17]","48","600","330","false","20","20","black","1","false","1","1","1200","660","response","ArrowRight","","self","easy"
